Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
PGLYRP4		2	2	1525	0.1%	No
PGLYRP2		4	4	1525	0.3%	No
TFRC		1	1	200	0.5%	Yes
HTR4		8	8	1525	0.5%	No
PTPDC1		4	4	200	2.0%	No
CRHBP		1	1	200	0.5%	No
HTR7		1	1	200	0.5%	No
SCP2		2	2	1525	0.1%	No
PGLYRP1		2	2	1525	0.1%	No
PRKACB		2	2	1525	0.1%	No
SPATA31G1		2	2	200	1.0%	No
GSTK1		6	6	597	1.0%	No
ZNF19		2	2	1525	0.1%	No
UNC5A		1	1	200	0.5%	No
UNC5B		6	6	597	1.0%	No
DHDH		4	4	1525	0.3%	No
RC3H1		2	2	1525	0.1%	No
UNC5D		1	1	200	0.5%	No
ZNF14		1	1	200	0.5%	No
ZNF16		1	1	200	0.5%	No
SIGIRR		4	4	1525	0.3%	No
LARS1		5	4	597	0.7%	No
DDIT4		1	1	200	0.5%	No
AGTR1		1	1	200	0.5%	No
ORAI1		4	4	597	0.7%	No
SPATA31H1		1	1	200	0.5%	No
UNC119B		1	1	200	0.5%	No
COL13A1		1	1	200	0.5%	No
AASDH		1	1	200	0.5%	No
B3GLCT		2	2	1525	0.1%	No
ADAMTS12		10	10	2122	0.5%	No
ZNF24		1	1	200	0.5%	Yes
ADAMTS10		2	2	1525	0.1%	No
ADAMTS16		9	9	2122	0.4%	No
ADAMTS15		6	6	1525	0.4%	No
LARP1		1	1	200	0.5%	No
ADAMTS19		4	4	200	2.0%	No
RDH10		2	2	1525	0.1%	No
ADAMTS18		2	2	200	1.0%	No
ADAMTS17		7	7	2122	0.3%	No
GSTM3		3	3	597	0.5%	No
NEBL		7	7	1725	0.4%	No
LARP7		3	3	1525	0.2%	No
L1CAM		4	4	1525	0.3%	No
LARP4		2	2	200	1.0%	No
PKIB		3	3	597	0.5%	No
MOV10		1	1	200	0.5%	No
PPFIBP1		5	3	1675	0.2%	Yes
PPFIBP2		1	1	200	0.5%	No
LAS1L		3	3	597	0.5%	No
STRC		3	3	597	0.5%	No
STRN		7	7	2122	0.3%	Yes
L1TD1		2	2	1525	0.1%	No
SFXN1		7	7	1725	0.4%	No
HYOU1		1	1	200	0.5%	No
SFXN2		2	2	1525	0.1%	No
SPMAP2		5	5	2122	0.2%	No
KCNC1		3	3	1725	0.2%	No
KCNC3		2	2	1525	0.1%	No
PRKAG1		2	2	1525	0.1%	No
ZNF43		3	3	597	0.5%	No
PRKAG2		2	2	350	0.6%	No
ZNF44		4	4	1525	0.3%	No
SHB		1	1	200	0.5%	No
PRKAG3		6	6	1525	0.4%	No
ZNF48		4	4	1525	0.3%	No
NPAP1		5	5	1525	0.3%	No
M1AP		1	1	200	0.5%	No
MMP25		3	3	597	0.5%	No
MMP24		2	2	200	1.0%	No
MMP27		1	1	200	0.5%	No
ZNF41		2	2	1525	0.1%	No
MYBPC3		4	4	1525	0.3%	No
MYBPC1		1	1	200	0.5%	No
KCND2		3	3	1725	0.2%	No
KCND3		7	7	1725	0.4%	No
MMP13		1	1	200	0.5%	No
RAPGEF2		8	8	2122	0.4%	No
PTRH1		2	2	1525	0.1%	No
RAPGEF5		2	2	1525	0.1%	No
HCST		1	1	200	0.5%	No
RAPGEF6		3	3	200	1.5%	No
RAPGEF3		1	1	200	0.5%	No
APCS		2	2	1525	0.1%	No
PKN3		1	1	200	0.5%	No
KCNA1		2	2	200	1.0%	No
KCNA2		1	1	200	0.5%	No
KCNA3		1	1	200	0.5%	No
KCNA4		7	7	597	1.2%	No
KCNA5		1	1	200	0.5%	No
ADAM20		4	4	200	2.0%	No
ADAM29		4	4	1525	0.3%	No
ADAM28		1	1	150	0.7%	No
PLAGL1		1	1	200	0.5%	No
STX3		4	4	597	0.7%	No
KCNB1		4	4	1525	0.3%	No
KCNB2		2	2	1525	0.1%	No
MBD1		1	1	200	0.5%	No
MCRS1		2	2	200	1.0%	No
MBD2		1	1	200	0.5%	No
SCTR		5	5	2122	0.2%	No
ADAM33		2	2	1525	0.1%	No
ZNF76		4	4	1525	0.3%	No
ZNF77		1	1	200	0.5%	No
KIAA2013		4	4	1525	0.3%	No
ADAM30		1	1	200	0.5%	No
ZNF79		1	1	200	0.5%	No
TARBP2		1	1	200	0.5%	No
TARBP1		1	1	150	0.7%	No
ZNF70		1	1	200	0.5%	No
ZNF71		2	2	1525	0.1%	No
ZNF74		1	1	200	0.5%	No
PKN2		2	2	200	1.0%	No
PKN1		1	1	200	0.5%	No
KCNG1		2	2	1525	0.1%	No
KCNG3		1	1	200	0.5%	No
KCNG4		3	3	1525	0.2%	No
RASL11B		2	2	1525	0.1%	No
PDCD5		1	1	200	0.5%	No
GOLIM4		2	2	1525	0.1%	No
FBXO25		2	2	200	1.0%	No
MSI1		2	2	1525	0.1%	Yes
FADS3		2	2	1525	0.1%	No
PTAR1		3	3	597	0.5%	No
POFUT2		1	1	200	0.5%	No
MYBPHL		2	2	1525	0.1%	No
FNTB		2	1	200	0.5%	No
NFATC2IP		2	2	1525	0.1%	No
TNFRSF8		3	3	1725	0.2%	No
NEK1		2	2	1525	0.1%	No
MAP3K9		6	6	1725	0.3%	No
MAP3K7		3	3	1725	0.2%	Yes
FADS1		2	2	1525	0.1%	No
MAP3K4		4	4	1725	0.2%	No
MAP3K5		1	1	200	0.5%	No
POTEC		1	1	200	0.5%	No
KCNH2		6	6	2122	0.3%	No
KCNH3		1	1	200	0.5%	No
KCNH4		1	1	200	0.5%	No
KCNH5		5	5	2122	0.2%	No
DGAT2		1	1	200	0.5%	No
DGAT1		2	2	1525	0.1%	No
KCNH6		4	4	1525	0.3%	No
FBXW8		1	1	150	0.7%	No
KCNH7		8	8	1525	0.5%	No
KCNH8		3	3	597	0.5%	No
STX7		2	1	200	0.5%	No
FBXO10		1	1	150	0.7%	No
FBXO11		5	5	2122	0.2%	Yes
NPAS4		5	5	2122	0.2%	No
MSH6		1	1	200	0.5%	Yes
LENG1		2	2	200	1.0%	No
MSH2		4	4	1525	0.3%	Yes
DMTF1		2	2	200	1.0%	No
MSH3		5	5	1725	0.3%	Yes
MSH5		2	2	350	0.6%	No
PKP2		1	1	200	0.5%	No
SMS		1	1	200	0.5%	No
PKP1		2	2	1525	0.1%	No
PKP3		4	4	1525	0.3%	No
BLM		2	2	1525	0.1%	Yes
KCNE3		3	3	597	0.5%	No
ZC4H2		1	1	200	0.5%	No
FBXO47		1	1	200	0.5%	No
FBXO46		4	4	1525	0.3%	No
NPAS1		1	1	200	0.5%	No
FBXO44		1	1	200	0.5%	No
CCDC144A		4	4	1525	0.3%	No
NPAS2		1	1	200	0.5%	No
FBXO41		1	1	200	0.5%	No
FBXO42		2	1	200	0.5%	No
NPAS3		6	5	200	2.5%	No
RAP1B		3	3	597	0.5%	No
FBXO40		1	1	200	0.5%	No
MBIP		2	2	1525	0.1%	No
ZKSCAN3		1	1	200	0.5%	No
BMF		1	1	200	0.5%	No
TSNAXIP1		2	2	1525	0.1%	No
CERT1		1	1	200	0.5%	No
ZKSCAN1		2	2	1525	0.1%	No
KCNF1		2	2	1525	0.1%	No
NOP14		4	4	1525	0.3%	No
HTR1E		2	2	1525	0.1%	No
NEK5		3	3	1725	0.2%	No
TNFRSF9		2	2	1525	0.1%	No
FBXO38		6	6	1525	0.4%	No
HTR1D		4	4	1525	0.3%	No
FBXO39		1	1	200	0.5%	No
FBXO34		1	1	150	0.7%	No
BMX		1	1	200	0.5%	No
G6PC1		3	3	597	0.5%	No
FBXO30		4	4	597	0.7%	No
FAM90A1		3	3	597	0.5%	No
SON		3	3	597	0.5%	No
VNN3P		1	1	200	0.5%	No
SP2		4	3	1725	0.2%	No
SP4		3	3	1525	0.2%	No
SP3		2	2	200	1.0%	No
SP6		2	2	1525	0.1%	No
SP8		5	5	1525	0.3%	No
SP7		2	2	1525	0.1%	No
LRCH4		2	2	200	1.0%	No
LRCH3		3	3	597	0.5%	No
SP9		4	4	1525	0.3%	No
BCAR3		1	1	200	0.5%	No
KCNK6		1	1	200	0.5%	No
BMP10		3	3	597	0.5%	No
PIWIL4		4	4	597	0.7%	No
ALAS2		2	2	200	1.0%	No
ALAS1		1	1	200	0.5%	No
ONECUT2		1	1	200	0.5%	Yes
MTCL1		7	7	2122	0.3%	No
MTCL2		7	7	1725	0.4%	No
MTCL3		2	2	397	0.5%	No
DYSF		12	11	2122	0.5%	No
APIP		1	1	150	0.7%	No
BICD1		6	6	2122	0.3%	No
BICD2		2	2	1525	0.1%	No
UNC80		6	6	1725	0.3%	No
SPN		1	1	200	0.5%	No
BOC		1	1	150	0.7%	No
OR56B1		1	1	200	0.5%	No
NEO1		11	11	1725	0.6%	No
BCAS1		1	1	200	0.5%	No
UNC45A		4	4	1525	0.3%	No
CERS3		4	4	1525	0.3%	No
UNC45B		3	3	597	0.5%	No
BCAS3		4	4	1525	0.3%	No
SLC36A3		2	2	1525	0.1%	No
CERS6		1	1	200	0.5%	No
VPS13C		7	7	747	0.9%	No
HTR3E		1	1	200	0.5%	No
VPS13D		6	5	597	0.8%	No
DHPS		2	2	1525	0.1%	No
VPS13A		1	1	200	0.5%	No
VPS13B		7	7	597	1.2%	No
HTR3D		6	6	1525	0.4%	No
BMP2K		13	13	1725	0.8%	No
PRKAA1		1	1	200	0.5%	No
PRKAA2		7	7	2122	0.3%	No
BLTP3B		1	1	200	0.5%	No
UHRF2		6	6	1725	0.3%	No
C1S		4	3	200	1.5%	No
LENG9		1	1	200	0.5%	No
LENG8		1	1	200	0.5%	No
U2AF1		101	99	2272	4.4%	Yes
MLLT1		2	2	1525	0.1%	Yes
MLLT3		2	2	1525	0.1%	Yes
SRR		1	1	200	0.5%	No
U2AF2		4	4	747	0.5%	Yes
KRIT1		2	2	1525	0.1%	No
SRY		1	1	200	0.5%	No
TSPOAP1		5	5	1725	0.3%	No
KCNJ5		1	1	200	0.5%	Yes
KCNJ6		5	5	2122	0.2%	No
NOP58		1	1	200	0.5%	No
COL26A1		1	1	200	0.5%	No
KCNJ8		1	1	200	0.5%	No
GPKOW		1	1	200	0.5%	No
KCNJ9		2	2	1525	0.1%	No
HTR5A		5	5	2122	0.2%	No
SORL1		8	6	1725	0.3%	No
UROC1		1	1	200	0.5%	No
PDCD4		1	1	200	0.5%	No
PDCD2		1	1	200	0.5%	No
KCNK1		4	4	1525	0.3%	No
BCAR1		2	2	1525	0.1%	No
UNC79		5	5	1725	0.3%	No
SLC23A3		1	1	200	0.5%	No
SLC23A2		1	1	200	0.5%	No
IGLV8-61		2	2	1525	0.1%	No
LGALS4		1	1	200	0.5%	No
STS		4	4	1525	0.3%	No
IL36A		1	1	200	0.5%	No
PEG10		2	2	1525	0.1%	No
TNFSF10		3	3	200	1.5%	No
FBXO4		1	1	200	0.5%	No
FBXO3		1	1	200	0.5%	No
FBXO6		1	1	200	0.5%	No
ATXN7L1		3	3	597	0.5%	No
BSN		9	9	597	1.5%	No
ATXN7L3		3	3	1725	0.2%	No
FBXO7		7	5	200	2.5%	No
LIMCH1		2	2	1525	0.1%	No
BTD		3	3	597	0.5%	No
CRISPLD1		8	8	2122	0.4%	No
SOAT1		3	3	1725	0.2%	No
CRISPLD2		3	3	597	0.5%	No
SOAT2		1	1	200	0.5%	No
KCNQ1		2	2	1525	0.1%	No
KCNQ2		3	3	597	0.5%	No
KCNQ3		3	3	597	0.5%	No
CES2		4	4	1725	0.2%	No
CETP		2	2	1525	0.1%	No
AARS1		2	1	200	0.5%	No
AARS2		3	3	1525	0.2%	No
DHX8		1	1	150	0.7%	No
MYCBP2		12	11	2122	0.5%	No
ZBTB3		3	3	200	1.5%	No
PKHD1		6	6	597	1.0%	No
NEU3		1	1	200	0.5%	No
RRAS		1	1	200	0.5%	Yes
STK38L		2	2	1525	0.1%	No
H3C3		6	6	1525	0.4%	Yes
KCNN2		1	1	200	0.5%	No
KCNN3		3	3	597	0.5%	No
APOB		9	8	597	1.3%	No
H3C4		3	3	597	0.5%	Yes
H3C7		1	1	200	0.5%	Yes
SLC10A4		2	2	1525	0.1%	No
APOBEC3C		1	1	200	0.5%	No
BBS2		1	1	150	0.7%	No
BBS1		2	2	1525	0.1%	No
MSR1		2	2	1525	0.1%	No
NTNG2		3	3	1725	0.2%	No
TNFSF14		1	1	200	0.5%	No
APOBEC3G		1	1	200	0.5%	No
DDIAS		3	3	822	0.4%	No
IGF2		1	1	200	0.5%	Yes
DELE1		3	3	1725	0.2%	No
SUCO		7	7	1725	0.4%	No
CPLANE1		7	7	1725	0.4%	No
IGF1		2	2	1525	0.1%	Yes
CYP26A1		3	3	597	0.5%	No
PEX5L		2	2	1525	0.1%	No
MC1R		2	2	1525	0.1%	No
SPDYA		3	3	597	0.5%	No
OR4D11		1	1	200	0.5%	No
FBXL7		2	2	1525	0.1%	No
LDHAL6A		1	1	200	0.5%	No
APOBEC3B		2	2	1525	0.1%	Yes
MRPS17		2	2	1525	0.1%	No
MRPS14		1	1	200	0.5%	No
MRPS10		2	2	1525	0.1%	No
KCNT1		6	6	2122	0.3%	No
KCNT2		3	3	597	0.5%	No
SUFU		1	1	200	0.5%	Yes
RAC2		3	3	1675	0.2%	Yes
BBS7		3	3	597	0.5%	No
MRPS28		4	4	1525	0.3%	No
PCYT1B		2	2	1525	0.1%	No
ZHX2		1	1	200	0.5%	No
PCYT1A		4	4	1725	0.2%	No
SYK		2	1	200	0.5%	Yes
MRPS24		1	1	200	0.5%	No
MST1		3	3	597	0.5%	Yes
PRPF40B		4	4	1525	0.3%	No
PRPF40A		1	1	200	0.5%	No
GAB3		1	1	200	0.5%	No
GAB4		5	3	1725	0.2%	No
MC3R		1	1	200	0.5%	No
RNF144B		1	1	200	0.5%	No
KCNU1		6	6	597	1.0%	No
PITPNM2		3	3	1725	0.2%	No
CNKSR3		1	1	200	0.5%	No
IGHE		4	4	1925	0.2%	No
TLCD1		1	1	150	0.7%	No
