,SPI1,GATA1,GATA2,TAL1,ZFPM1,FLI1,ERG,CBFA2T3,RUNX1,SMAD6,HHEX,KLF1,CEBPA,JUN,EGR1,EGR2,NAB1,GFI1
S1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2.1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
S3.1,0,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0
S3.2,0,1,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0
S4.1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0
S4.2,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0
S4.3,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0
S4.4,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0
S5.1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1
S5.2,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,1
S5.3,1,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1
S5.4,0,0,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,1
S6.1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1
S6.2,1,0,0,1,0,1,1,0,1,1,1,0,1,0,0,0,0,1
S6.3,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1
S6.4,1,1,0,1,0,1,1,0,1,1,1,0,1,0,0,0,0,1
