CBFA2T3,HHEX,RUNX1,SMAD6,GATA1,GATA2,TAL1,ZFPM1,SPI1,FLI1,KLF1,CEBPA,JUN,EGR1,EGR2,NAB1,GFI1
1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0
0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0
0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0
0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
