Gene,Expression
A1BG,0.00234009360374415
A1BG-AS1,0.014820592823712949
A1CF,0.00078003120124805
A2M,0.00078003120124805
A2M-AS1,0.00546021840873635
A2ML1,0.0062402496099844
AAAS,0.0483619344773791
AACS,0.027301092043681748
AACSP1,0.00078003120124805
AADAC,0.0015600624024961
AADAT,0.0124804992199688
AAED1,0.09282371294851795
AAGAB,0.01794071762870515
AAK1,0.014040561622464899
AAMDC,0.0499219968798752
AAMP,0.04758190327613104
AANAT,0.0015600624024961
AAR2,0.029641185647425898
AARD,0.0046801872074883
AARS,0.046021840873634944
AARS2,0.0249609984399376
AARSD1,0.028081123244929798
AASDH,0.031981279251170044
AASDHPPT,0.057722308892355696
AASS,0.0093603744149766
AATBC,0.0039001560062402497
AATF,0.056162246489859596
AATK,0.0046801872074883
AATK-AS1,0.00078003120124805
ABAT,0.015600624024960999
ABC7-42404400C24.1,0.00078003120124805
ABCA1,0.0109204368174727
ABCA10,0.0070202808112324495
ABCA11P,0.0015600624024961
ABCA12,0.00078003120124805
ABCA13,0.039781591263650544
ABCA17P,0.0015600624024961
ABCA2,0.014820592823712949
ABCA3,0.0093603744149766
ABCA4,0.00078003120124805
ABCA5,0.02574102964118565
ABCA6,0.0039001560062402497
ABCA7,0.01014040561622465
ABCA8,0.0015600624024961
ABCA9,0.0109204368174727
ABCB1,0.062402496099843996
ABCB10,0.0249609984399376
ABCB11,0.00078003120124805
ABCB4,0.0039001560062402497
ABCB5,0.0093603744149766
ABCB7,0.0499219968798752
ABCB8,0.00546021840873635
ABCB9,0.00858034321372855
ABCC1,0.08580343213728549
ABCC10,0.014040561622464899
ABCC11,0.00078003120124805
ABCC12,0.00078003120124805
ABCC13,0.01170046801872075
ABCC2,0.0015600624024961
ABCC3,0.00858034321372855
ABCC4,0.062402496099843996
ABCC5,0.0249609984399376
ABCC5-AS1,0.00078003120124805
ABCC6,0.0109204368174727
ABCC6P1,0.00078003120124805
ABCC6P2,0.00078003120124805
ABCD1,0.0062402496099844
ABCD2,0.0015600624024961
ABCD3,0.046021840873634944
ABCD4,0.033541341653666144
ABCE1,0.11466458658346333
ABCF1,0.0421216848673947
ABCF2,0.0421216848673947
ABCF3,0.014820592823712949
ABCG1,0.044461778471138844
ABCG2,0.0062402496099844
ABCG4,0.0015600624024961
ABCG8,0.00078003120124805
ABHD1,0.01950078003120125
ABHD10,0.078003120124805
ABHD11,0.0093603744149766
ABHD12,0.044461778471138844
ABHD12B,0.0039001560062402497
ABHD13,0.033541341653666144
ABHD14A,0.027301092043681748
ABHD14B,0.078003120124805
ABHD15,0.0171606864274571
ABHD16A,0.00078003120124805
ABHD17A,0.06708268330733229
ABHD17B,0.06474258970358815
